Macros,rrhs,usuarios,scenario,iteracao,c,p,ee,temp
1,22,30,0,0,993414.908613,23022440.3754,0.0431498525966,34.0629229546
1,22,30,0,1,993414.908613,23022440.3754,0.0431498525966,0.00630497932434
1,22,30,0,2,993414.908613,23022440.3754,0.0431498525966,0.00675892829895
1,22,30,0,3,993414.908613,23022440.3754,0.0431498525966,0.0063259601593
1,22,30,0,4,993414.908613,23022440.3754,0.0431498525966,0.00656008720398
1,22,30,0,5,993414.908613,23022440.3754,0.0431498525966,0.00672006607056
1,22,30,0,6,993414.908613,23022440.3754,0.0431498525966,0.00633406639099
1,22,30,0,7,993414.908613,23022440.3754,0.0431498525966,0.00652503967285
1,22,30,0,8,993414.908613,23022440.3754,0.0431498525966,0.0063591003418
1,22,30,0,9,993414.908613,23022440.3754,0.0431498525966,0.00700902938843
1,22,30,1,0,1787922.25241,61735538.3363,0.028960989093,45.144564867
1,22,30,1,1,1787922.25241,61735538.3363,0.028960989093,0.00662398338318
1,22,30,1,2,1787922.25241,61735538.3363,0.028960989093,0.00650691986084
1,22,30,1,3,1787922.25241,61735538.3363,0.028960989093,0.00644207000732
1,22,30,1,4,1787922.25241,61735538.3363,0.028960989093,0.00631999969482
1,22,30,1,5,1787922.25241,61735538.3363,0.028960989093,0.00663781166077
1,22,30,1,6,1787922.25241,61735538.3363,0.028960989093,0.00630807876587
1,22,30,1,7,1787922.25241,61735538.3363,0.028960989093,0.0062940120697
1,22,30,1,8,1787922.25241,61735538.3363,0.028960989093,0.00626921653748
1,22,30,1,9,1787922.25241,61735538.3363,0.028960989093,0.00672602653503
1,22,30,2,0,1900805.80867,67953912.9751,0.0279719846209,50.3350820541
1,22,30,2,1,1900805.80867,67953912.9751,0.0279719846209,0.00638699531555
1,22,30,2,2,1900805.80867,67953912.9751,0.0279719846209,0.00709199905396
1,22,30,2,3,1900805.80867,67953912.9751,0.0279719846209,0.00631189346313
1,22,30,2,4,1900805.80867,67953912.9751,0.0279719846209,0.00657081604004
1,22,30,2,5,1900805.80867,67953912.9751,0.0279719846209,0.00689482688904
1,22,30,2,6,1900805.80867,67953912.9751,0.0279719846209,0.00643515586853
1,22,30,2,7,1900805.80867,67953912.9751,0.0279719846209,0.0067880153656
1,22,30,2,8,1900805.80867,67953912.9751,0.0279719846209,0.0063009262085
1,22,30,2,9,1900805.80867,67953912.9751,0.0279719846209,0.00666403770447
